
2024-06-27 20:39:01,437 - INFO - started stock data stream
2024-06-27 20:39:01,437 - INFO - starting stock data websocket connection
2024-06-27 20:39:01,924 - INFO - connected to: wss://stream.data.alpaca.markets/v2/iex
2024-06-27 20:39:02,134 - INFO - subscribed to trades: [], quotes: [], bars: ['AAPL', 'AMZN', 'GOOG', 'META', 'MSFT', 'NFLX', 'NVDA', 'PYPL', 'TSLA', 'V'], updatedBars: [], dailyBars: [], statuses: [], lulds: [], cancelErrors: [], corrections: []
2024-06-27 20:40:00,118 - INFO - Received new bar data for MSFT: 452.5
2024-06-27 20:40:00,737 - INFO - Holding 0.563653769 shares of AAPL at 214.0029 per share, market value: 120.6235411619301
2024-06-27 20:40:00,738 - INFO - Holding 0.628663333 shares of AMZN at 198.21 per share, market value: 124.60735923393
2024-06-27 20:40:00,738 - INFO - Holding 0.53919355 shares of GOOG at 186.77 per share, market value: 100.7051793335
2024-06-27 20:40:00,738 - INFO - Holding 0.039012 shares of META at 519.44 per share, market value: 20.26439328
2024-06-27 20:40:00,740 - INFO - Holding 0.420432778 shares of MSFT at 452.51 per share, market value: 190.25003637278
2024-06-27 20:40:00,740 - INFO - Holding 0.0889 shares of NFLX at 684.995 per share, market value: 60.8960555
2024-06-27 20:40:00,740 - INFO - Holding 0.080561 shares of NVDA at 123.97 per share, market value: 9.98714717
2024-06-27 20:40:00,741 - INFO - Holding 2.743488 shares of PYPL at 58.25 per share, market value: 159.808176
2024-06-27 20:40:00,741 - INFO - Holding 1.0 shares of SPY at 545.79 per share, market value: 545.79
2024-06-27 20:40:00,741 - INFO - Holding 0.685021999 shares of TSLA at 196.955 per share, market value: 134.918507813045
2024-06-27 20:40:00,741 - INFO - Holding 0.698268708 shares of V at 267.37 per share, market value: 186.69610445796
2024-06-27 20:40:00,741 - INFO - Total portfolio value: 1654.546500323145, Available cash: 98395.48
2024-06-27 20:40:00,741 - INFO - Neutral signal received for MSFT, no trade executed
2024-06-27 20:40:00,741 - INFO - Received new bar data for AAPL: 214.01
2024-06-27 20:40:00,917 - INFO - Holding 0.563653769 shares of AAPL at 214.0029 per share, market value: 120.6235411619301
2024-06-27 20:40:00,917 - INFO - Holding 0.628663333 shares of AMZN at 198.21 per share, market value: 124.60735923393
2024-06-27 20:40:00,917 - INFO - Holding 0.53919355 shares of GOOG at 186.77 per share, market value: 100.7051793335
2024-06-27 20:40:00,917 - INFO - Holding 0.039012 shares of META at 519.3754 per share, market value: 20.2618731048
